match_id,role,raw_name,canonical_athlete_id
801,loser,Jose Mario Sperry,athlete_jose-mario-sperry-m
803,winner,Roger Gracie,athlete_roger-gracie-m
803,loser,Rigan Machado,athlete_rigan-machado-m
1200,winner,Roger Gracie,athlete_roger-gracie-m
1200,loser,Eduardo Telles,athlete_eduardo-telles-m
1235,winner,Roger Gracie,athlete_roger-gracie-m
1235,loser,Ronaldo Souza,athlete_ronaldo-souza-m
5019,winner,Romulo Barral,athlete_romulo-barral-m
5019,loser,Keenan Cornelius,athlete_keenan-cornelius-m
5021,winner,Romulo Barral,athlete_romulo-barral-m
5021,loser,Rafael Lovato Jr,athlete_rafael-lovato-jr-m
795,winner,Ronaldo Souza,athlete_ronaldo-souza-m
795,loser,Ricardo Almeida,athlete_ricardo-almeida-m
1195,winner,Ronaldo Souza,athlete_ronaldo-souza-m
1195,loser,Demian Maia,athlete_demian-maia-m
1232,winner,Ronaldo Souza,athlete_ronaldo-souza-m
1232,loser,Marcelo Garcia,athlete_marcelo-garcia-m
35060,winner,Roosevelt Sousa,athlete_roosevelt-sousa-m
35060,loser,Joao Gabriel Rocha,athlete_joao-gabriel-rocha-m
35067,winner,Roosevelt Sousa,athlete_roosevelt-sousa-m
35067,loser,Rida Haisam,athlete_rida-haisam-m
21842,winner,Adam Wardzinski,athlete_adam-wardzinski-m
21842,loser,Michael Perez,athlete_michael-perez-m
2267,winner,Braulio Estima,athlete_braulio-estima-m
2267,loser,Rafael Lovato Jr,athlete_rafael-lovato-jr-m
2269,winner,Braulio Estima,athlete_braulio-estima-m
2269,loser,Andre Galvao,athlete_andre-galvao-m
2303,winner,Braulio Estima,athlete_braulio-estima-m
2303,loser,Marcelo Garcia,athlete_marcelo-garcia-m
2306,winner,Braulio Estima,athlete_braulio-estima-m
2306,loser,Vinicius Magalhaes,athlete_vinicius-magalhaes-m
3321,winner,Braulio Estima,athlete_braulio-estima-m
3321,loser,Ronaldo Souza,athlete_ronaldo-souza-m
13897,winner,Celso Vinicius,athlete_celso-vinicius-m
